cell,variant,model,corpus,kind,quantitative,unmatched,n_windows,n_docs,bpb,gain,gain_ci,c_hat,fit_accepted,beta,Linf,beta_ci,fit_reason
q25c-0.5b__physlib__full_topo__ph16384,masked_c2024_11,q25c-0.5b,physlib,full_topo__ph16384,True,False,25,130,0.5282,1.190621676665286,"[1.0180912818683463, 1.3552507519633687]",23170.47500592079,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo__ph16384,masked_c2025_04,q25c-0.5b,physlib,full_topo__ph16384,True,False,23,95,0.5441,1.1812583121306188,"[0.9736280905066431, 1.406722178090087]",23170.47500592079,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo__ph16384,masked_c2026_02,q25c-0.5b,physlib,full_topo__ph16384,True,False,20,47,0.5137,,,,False,,,,insufficient bins for the frozen holdout gate
q25c-0.5b__physlib__full_topo__ph24576,main,q25c-0.5b,physlib,full_topo__ph24576,True,False,24,164,0.5231,1.062885118513408,"[0.8930139685548397, 1.2429408990444633]",11585.237502960395,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo__ph24576,masked_c2024_11,q25c-0.5b,physlib,full_topo__ph24576,True,False,24,126,0.5255,1.106277101609367,"[0.8848275887727474, 1.3185701731106256]",23170.47500592079,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo__ph24576,masked_c2025_04,q25c-0.5b,physlib,full_topo__ph24576,True,False,22,91,0.5397,1.1129135827796106,"[0.8417261582825459, 1.3363898064628716]",23170.47500592079,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo__ph24576,masked_c2026_02,q25c-0.5b,physlib,full_topo__ph24576,True,False,18,46,0.508,,,,False,,,,insufficient bins for the frozen holdout gate
q25c-0.5b__physlib__full_topo__ph8192,main,q25c-0.5b,physlib,full_topo__ph8192,True,False,25,169,0.5257,1.2718401121775804,"[1.0950956253956423, 1.4895627660989825]",92681.90002368316,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo__ph8192,masked_c2024_11,q25c-0.5b,physlib,full_topo__ph8192,True,False,25,131,0.5297,1.2872968830029752,"[1.1095415838092961, 1.495214907973329]",23170.47500592079,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo__ph8192,masked_c2025_04,q25c-0.5b,physlib,full_topo__ph8192,True,False,23,95,0.547,1.3166719643752076,"[1.0963784864605481, 1.553439559423787]",23170.47500592079,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo__ph8192,masked_c2026_02,q25c-0.5b,physlib,full_topo__ph8192,True,False,19,47,0.5044,,,,False,,,,insufficient bins for the frozen holdout gate
q25c-0.5b__physlib__full_topo_s2,main,q25c-0.5b,physlib,full_topo_s2,True,False,25,229,0.5179,1.0263919804096955,"[0.858919520295647, 1.2177319813893632]",5792.618751480198,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo_xl,main,q25c-0.5b,physlib,full_topo_xl,True,True,74,622,0.5085,1.1097852556179744,"[1.0225021459334092, 1.2052662637340539]",23170.47500592079,False,,,,failed frozen holdout gate
q25c-0.5b__qutip__clean_c2024_11,main,q25c-0.5b,qutip,clean_c2024_11,False,True,2,15,0.3533,,,,False,,,,cell below quantitative floors (w=2 d=15)
q25c-0.5b__qutip__full_shuffled,main,q25c-0.5b,qutip,full_shuffled,True,False,21,183,0.3965,0.6154926048235274,"[0.45397069120316386, 0.8292109511643647]",23170.47500592079,False,,,,failed frozen holdout gate
q25c-0.5b__qutip__full_topo,main,q25c-0.5b,qutip,full_topo,True,False,21,183,0.3821,0.7349740680050767,"[0.5556373590351458, 0.9339567395236873]",46340.95001184158,False,,,,failed frozen holdout gate
q25c-0.5b__qutip__full_topo,masked_c2024_11,q25c-0.5b,qutip,full_topo,False,False,9,14,0.3342,,,,False,,,,cell below quantitative floors (w=9 d=14)
